ST	adk	atpA	dxr	glyA	recA	sodA	tpi
PSM157_/PSM157__MLST/mlst_report.tsv	35	2	5	8	1	1	3	6
PSM158_/PSM158__MLST/mlst_report.tsv	63	1	1	7	5	1	3	3
PSM159_/PSM159__MLST/mlst_report.tsv	58	1	5	7	1	1	13	1
PSM160_/PSM160__MLST/mlst_report.tsv	10	2	1	2	1	1	3	1
PSM161_/PSM161__MLST/mlst_report.tsv	1	1	1	1	10	1	3	5
PSM162_/PSM162__MLST/mlst_report.tsv	1	1	1	1	10	1	3	5
PSM163_/PSM163__MLST/mlst_report.tsv	11	5	8	5	11	9	11	8
PSM164_/PSM164__MLST/mlst_report.tsv	46	4	1	6	1	1	10	1
PSM165_/PSM165__MLST/mlst_report.tsv	3	1	1	2	1	1	1	1
PSM166_/PSM166__MLST/mlst_report.tsv	35	2	5	8	1	1	3	6
PSM167_/PSM167__MLST/mlst_report.tsv	63	1	1	7	5	1	3	3
PSM168_/PSM168__MLST/mlst_report.tsv	10	2	1	2	1	1	3	1
PSM169_/PSM169__MLST/mlst_report.tsv	46	4	1	6	1	1	10	1
PSM170_/PSM170__MLST/mlst_report.tsv	63	1	1	7	5	1	3	3
PSM171_/PSM171__MLST/mlst_report.tsv	2	1	1	2	1	5	3	1
PSM172_/PSM172__MLST/mlst_report.tsv	16	1	1	2	6	1	3	1
PSM173_/PSM173__MLST/mlst_report.tsv	63	1	1	7	5	1	3	3
PSM174_/PSM174__MLST/mlst_report.tsv	10	2	1	2	1	1	3	1
PSM175_/PSM175__MLST/mlst_report.tsv	63	1	1	7	5	1	3	3
PSM176_/PSM176__MLST/mlst_report.tsv	2	1	1	2	1	5	3	1
PSM177_/PSM177__MLST/mlst_report.tsv	55*	1	1*	6	6	1	12	12
PSM178_/PSM178__MLST/mlst_report.tsv	16	1	1	2	6	1	3	1
PSM179_/PSM179__MLST/mlst_report.tsv	1	1	1	1	10	1	3	5
PSM181_/PSM181__MLST/mlst_report.tsv	1	1	1	1	10	1	3	5
PSM182_/PSM182__MLST/mlst_report.tsv	229	1	1	9	5	1	33	2
PSM183_/PSM183__MLST/mlst_report.tsv	88	9	7	3	8	6	18	10
PSM184_/PSM184__MLST/mlst_report.tsv	63	1	1	7	5	1	3	3
PSM185_/PSM185__MLST/mlst_report.tsv	42	1	1	2	1	1	7	1
PSM186_/PSM186__MLST/mlst_report.tsv	3	1	1	2	1	1	1	1
PSM189_/PSM189__MLST/mlst_report.tsv	55	1	1	6	6	1	12	12
PSM190_/PSM190__MLST/mlst_report.tsv	3	1	1	2	1	1	1	1
PSM191_/PSM191__MLST/mlst_report.tsv	63	1	1	7	5	1	3	3
PSM192_/PSM192__MLST/mlst_report.tsv	1	1	1	1	10	1	3	5
PSM193_/PSM193__MLST/mlst_report.tsv	1	1	1	1	10	1	3	5
PSM194_/PSM194__MLST/mlst_report.tsv	11	5	8	5	11	9	11	8
PSM195_/PSM195__MLST/mlst_report.tsv	4	1	2	2	1	1	5	3
PSM196_/PSM196__MLST/mlst_report.tsv	3	1	1	2	1	1	1	1
PSM197_/PSM197__MLST/mlst_report.tsv	43	1	7	6	1	1	5	6
PSM198_/PSM198__MLST/mlst_report.tsv	154	1	1	9	1	1	3	2
PSM199_/PSM199__MLST/mlst_report.tsv	4	1	2	2	1	1	5	3
PSM200_/PSM200__MLST/mlst_report.tsv	1*	1	1*	1	10	1	3	5
PSM201_/PSM201__MLST/mlst_report.tsv	2	1	1	2	1	5	3	1
PSM202_/PSM202__MLST/mlst_report.tsv	58	1	5	7	1	1	13	1
PSM203_/PSM203__MLST/mlst_report.tsv	1	1	1	1	10	1	3	5
PSM204_/PSM204__MLST/mlst_report.tsv	1	1	1	1	10	1	3	5
PSM205_/PSM205__MLST/mlst_report.tsv	63	1	1	7	5	1	3	3
PSM206_/PSM206__MLST/mlst_report.tsv	8	1	1	2	6	1	5	1
PSM207_/PSM207__MLST/mlst_report.tsv	3	1	1	2	1	1	1	1
PSM208_/PSM208__MLST/mlst_report.tsv	231	1	1	9	9	14	3	2
PSM209_/PSM209__MLST/mlst_report.tsv	34	1	5	7	1	1	3	1
PSM210_/PSM210__MLST/mlst_report.tsv	35	2	5	8	1	1	3	6
PSM211_/PSM211__MLST/mlst_report.tsv	46	4	1	6	1	1	10	1
PSM212_/PSM212__MLST/mlst_report.tsv	1	1	1	1	10	1	3	5
PSM213_/PSM213__MLST/mlst_report.tsv	1	1	1	1	10	1	3	5
PSM214_/PSM214__MLST/mlst_report.tsv	1	1	1	1	10	1	3	5
PSM215_/PSM215__MLST/mlst_report.tsv	1	1	1	1	10	1	3	5
